,user,Point
0,147,22d63e469be211ce0a2d20d3644ca3c9
1,21,031d40c1a6a59a08718e1b9c9ff6b8f54405f40a
2,0,b8d38ebebb9da5892999381c7a6a8431
3,62,51dd4f68a16111ddb3e4003048c10834
4,78,1aec49e499d270f67775ab3b4216f5417995227e
5,62,5d6c22b26ee011dead38003048c0801e
6,12,3128e4a5f5459e306d6e59e3d4a875e3
7,62,1eb32cb29bd311debad7003048c0801e
8,3,8c1299f0e90739a675caefe7c498ca79
9,3,48431c117b0786a1155523f6c501c70f
10,27,e01e348b21b42ab9f5a942f075f44b94888ea856
11,61,2aed9e94df7311ddbe4a003048c10834
12,3,5e55a3bdab719d665dad088a103a5692
13,51,2cfb4d7af67dd977a1024b624af6adacf59bcadb
14,101,c70845df423dbc7c7d85425e65fd78dfaa48af57
15,3,0a5fb4f6d3b76762508a03d23a4bbe07
16,30,ada5eaa4ecec11dda3c9003048c10834
17,69,681444aed63011dda468003048c0801e
18,47,abbcc7d8efdc11dd93d3003048c10834
19,51,6226a81c77ca11ddab820030487eb504
20,0,f3c9b754086c5c5c8c23f084e2a523de8fd9c769
21,28,76bb1108f7d9ef3a659785ba69bb7bf5
22,66,3baf821c7c9311ddbae30030487eb504
23,19,2bfd47be125c11deb8f2003048c10834
24,19,1ee6b5ea0bf111debe2c003048c0801e
25,11,ec92e9dca22411ddb2140701bb18a163
26,152,8ba5618e68d711de831a003048c10834
27,149,5d496be4a3811de8d1a003048c0801e
28,24,d821cd908cc311dd90280030487eb504
29,16,72299e16f7f611dd8743003048c0801e
30,3,d483d1208c7a7c7f13cf30c909e1e7f0
31,33,fccca256fbd511dd97c1003048c10834
32,147,dfaaadbaea8fa3cd0080068664b62307
33,26,aa56052ca22411ddb614e316ed1ec389
34,27,7c1820b2c40e11dda0f6003048c0801e
35,152,a0a4628d24cef823a9a66d1d5738d065c636c054
36,16,ac23dc065ba811de9546003048c0801e
37,41,deef1018f91c11ddbcaa003048c10834
38,10,4e227d108a5611deb624003048c10834
39,31,d29f6a1ed6e511ddb325003048c0801e
40,49,fc49dabdc6c8a952bcac205f5e35bcf0eb6bfebc
41,29,eed00632dbbb11dd984f003048c0801e
42,52,9b8c69644f0811de9120003048c10834
43,15,c8e47cdea3c311de86e6003048c10834
44,34,2774d4260e4911deabd9003048c10834
45,78,5e3d41b0f89011ddb5fe003048c10834
46,35,d13915b49406005a7032244587ba4e4956123f8f
47,25,64a0ce46705fd37bfe4020f1418fb77c
48,17,ee8fa02ca22411ddb71a53435ccdb414
49,18,3bd876a6a6d511dd8b0a003048c0801e
50,36,2cbee87e221d2995f6b509f95040c6ad
51,36,c209084c630b11de9c77003048c0801e
52,31,f7af7fa8b91a11ddbda6003048c10834
53,137,b6fc2fa674411de85d9003048c0801e
54,54,c5ccd5d825a011deb7cb003048c10834
55,0,cd8b1fe2b14327bf39f4c2a66f7ce71717975e26
56,16,ff66eb867ee4f376082f82841952d07a
57,47,9e977f1e866711dd89fd003048c0801e
58,25,a19851a37b545b1e9bd45ee3b9117964
59,29,ee75b482a22411ddb289132afcd225a8
60,21,346e61ee0fbe3cd9c3fc1f2b3ea77eba
61,60,23a5d0614e63551da0e73426c2bf3b4c
62,35,8569d689bd1e129181b17b39767fc3ee
63,19,ee6b8534a22411dd96da6f185082f76e
64,24,d372633634f211de8f98003048c10834
65,35,721cea13f72d4344db0900ea626b082e2b90f88d
66,101,0d657ad796a35f6dac7a0e017854bd8a02657721
67,80,495bbf4b5bc60b3db52c4e8642c1de88d4ae3484
68,102,298f33aabd7711dda8e0003048c10834
69,28,e4bae341e53fecb72fe2aa4abb2219bf
70,143,ee8d08b2a22411dd8da5bfa799403c1c
71,62,ce16ee46946ed1e9a9fec03079b447675d79b2bc
72,2,1d1dd34301133670b7aed27963769bc0
73,102,beaa0662d6e611dda882003048c10834
74,90,e5c85ede891f11dda78f003048c0801e
75,34,ece9c0fe3ccbfd7fe3f91713f33af8316c318782
76,38,ddc951c30e8995eeaa448eef70bc2813
77,149,d25da32e932111dea4c7003048c10834
78,146,9d2f88818750ab89d674c481bc576fe8
79,27,722dbc738a107b58c2aa48ef91d985c9131d9e9e
80,15,f7759ca68f3b11dd971c0030487eb504
81,16,55c6ecea260611deb6b3003048c10834
82,20,79ccc7fc4a2511de9f6f003048c10834
83,51,7d1d52dc1c23a260259237c00d872790
84,153,1ca0221753c6102a6c538ea0b215503c
85,11,e3f5a3364e5a11dea5c7003048c10834
86,150,ae0e708aed6c11dd99e7003048c0801e
87,51,4918b83a827711dd9a62003048c0801e
88,12,95e815d1541bf6f358cfffbe66ab3af0d0c09d09
89,23,f2c939dfdb26f709d68ca81077d00bcd6bf57629
90,17,4707016c6f2cc54312065bf76ea58049a22ed658
91,42,e5be8b847fb91335cd03f346b23f7d95
92,13,1d05ae0f74d953a743119919aeaedecba2159c4a
93,88,8a16754b05fffb2d34c40338b1cc7ef25188bec1
94,4,6e7cdfae18a09b815d70ea7487a1b66d
95,3,33f517cc4a5511de8a35003048c0801e
96,102,7ee35e7676db11dea929003048c10834
97,35,c0b5eb70c4f622ec38e92a17cea46609
98,4,133f3ed635912afde8df82a3f4cff305
99,16,7f8b068af0869f89000c1a3a07fd6f1b
100,124,a3c8afca57b411dea538003048c0801e
101,115,1d3bbb8cf8f52cdbe2a9bed769a08e0c47afd50b
102,62,17e49afe820e11ddaf230030487eb504
103,97,1dd1e6967f5711de8af6003048c0801e
104,21,5ffcd3e6c33dee4ea4d52f5bae29a4c112bff02e
105,16,024dc6dc7a051ee27da511d024e4826b
106,115,bddc5b3237fc11de807f003048c10834
107,72,5269ba50811011dd9b880030487eb504
108,30,f5756443d2a5abc0f9f8585acb757209
109,26,7e151dded30b70947d0df1f0db908eb8
110,74,6139389e13d211dea722003048c10834
111,30,ee7f4042a22411dd9f87f3a03d506f8a
112,153,f0d64bce1d9411deb207003048c10834
113,57,a7200c859d221a3c051a047913e2f8b773177402
114,30,aa19f9f6a17f11dd9940003048c0801e
115,83,1b0ebca8daa811dd9171003048c0801e
116,17,1d3bbb8cf8f52cdbe2a9bed769a08e0c47afd50b
117,15,5d569c489f7f11dda2e4003048c0801e
118,14,b7c641c1c613219ab752638190014b04
119,34,e05dfe9e8e9811dd82aa0030487eb504
120,31,7086a8dcd6e111dd9da1003048c0801e
121,0,717aa6eaf3cd38d37980e220c51d34921833e5ea
122,17,bddc5b3237fc11de807f003048c10834
123,91,b84a2e1e5d0011de8dff003048c0801e
124,16,2860339588659b8b088f24d32162d9e6c25a7e99
125,123,9140086ae92241d378d808e211f84504
126,16,d4b9c914793611dd99f70030487eb504
127,27,dc3795b3bb7ffcad138c6500e1e422c706fa8dc0
128,72,c1e21b0a587611deb504003048c0801e
129,7,6ce8b78370a37d7b7d24879feb75638c6e2b3623
130,67,60e47239d01bf3c5f56accacb2a1db53741e287c
131,52,a1f5bc4bd26694a2031efeb39a3f7449b80798a3
132,3,29188eff8c600dcb5f66946fa90a4d77
133,143,cca62a0b008e64e31934212e4e9d3031
134,69,99ceef04574c8515fedf8db7d12f6c4a0c56e6a4
135,17,45167656d54611dd9b74003048c0801e
136,91,6b418db7eb9b06ff2eb578b626d409562860e023
137,30,9e68ee93d4b7848bea9c691e22eaf9db
138,37,884ef3dd2809ccf007ef06349b3e86f0
139,97,bfe2484a42da11dea8eb003048c0801e
